Job,Link
"AI Developer
BariTechSol, Karachi, Pakistan
Responsibilities:Collaborate with the team to develop and maintain the user interface of our app, ensuring a seamless and responsive experie..",https://www.rozee.pk/baritechsol-ai-developer-karachi-jobs-1467484?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1467484&utm_campaign=ROZEE.PK_job_search
"Senior DevOps Engineer
Horizon Technologies, Karachi, Pakistan
Horizon Technologies is on the lookout for a seasoned Senior DevOps Engineer, for our healthcare client based in Canada. An ideal candidate ..",https://www.rozee.pk/horizon-technologies-senior-devops-engineer-karachi-jobs-1470512?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1470512&utm_campaign=ROZEE.PK_job_search
"AI Developer
BariTechSol, Karachi, Pakistan
Responsibilities:Collaborate with the team to develop and maintain the user interface of our app, ensuring a seamless and responsive experie..",https://www.rozee.pk/baritechsol-ai-developer-karachi-jobs-1464745?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1464745&utm_campaign=ROZEE.PK_job_search
"Senior Backend Developer
Confidential, Lahore, Pakistan
Experience: 5-8 years in backend development, with a proven track record of designing and implementing scalable and robust server-side solut..",https://www.rozee.pk/job/detail/1462461?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1462461&utm_campaign=ROZEE.PK_job_search
"Full Stack Developer
I Gate Technologies, Islamabad, Pakistan
Develop, deploy, and maintain Software as a Service SaaS application using Python, Django or Flask, ReactJS, MSSQL, and Azure or AWS as the ..",https://www.rozee.pk/i-gate-technologies-full-stack-developer-islamabad-jobs-1465975?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1465975&utm_campaign=ROZEE.PK_job_search
"Data Analyst - GIS
Renaissance Advisers, Lahore, Pakistan
The RoleWe are looking for an outstanding early-career individual to work closely with Blue’s technical team. The Data Analyst will play an ..",https://www.rozee.pk/renaissance-advisers-data-analyst-gis-lahore-jobs-1466320?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1466320&utm_campaign=ROZEE.PK_job_search
"Machine Learning Developer
Mudash Technologies, Lahore, Pakistan
Develop and implement machine learning models and algorithms to solve complex business problems.Research and experiment with state-of-the-ar..",https://www.rozee.pk/mudash-technologies-machine-learning-developer-lahore-jobs-1469570?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469570&utm_campaign=ROZEE.PK_job_search
"Project Manager / Odoo ERP Specialist
Star Soft Industry, Karachi, Pakistan
We are seeking a skilled Project Manager proficient in Odoo ERP and Python programming, with a deep understanding of the Odoo platform.The i..",https://www.rozee.pk/star-soft-industry-project-manager-odoo-erp-specialist-karachi-jobs-1466812?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1466812&utm_campaign=ROZEE.PK_job_search
"Research / Development Engineer
Ewall, Peshawar, Pakistan
Responsibilities:Developing and testing electronic and Robotics and mechatronic systems.Conducting research to improve existing products or ..",https://www.rozee.pk/ewall-research-development-engineer-peshawar-jobs-1466115?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1466115&utm_campaign=ROZEE.PK_job_search
"L3 Support Engineer - Kiuwan
BPOWare, Multiple Cities, Pakistan
ResponsibilitiesAddress escalations from L2 support (most challenging Support issues)Triage Support tickets and other Issue IDs received fro..",https://www.rozee.pk/bpoware-l3-support-engineer-kiuwan-islamabad-karachi-lahore-jobs-1471180?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1471180&utm_campaign=ROZEE.PK_job_search
"Python / Full Stack Developer (Django)
Xono Solutions, Multiple Cities, Pakistan
Were seeking a mid-level Python Full Stack Developer with a passion for Django to join our small but dynamic team. If you\re excited about ..",https://www.rozee.pk/xono-solutions-python-full-stack-developer-django-islamabad-karachi-lahore-jobs-1465357?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1465357&utm_campaign=ROZEE.PK_job_search
"IT Developer
WIY Ltd, Multiple Cities, Pakistan
Manage geospatial data using PostGIS for efficient storage and retrieval.Design and visualize fiber network layouts using QGIS and QGIS API...",https://www.rozee.pk/wiy-ltd-it-developer-islamabad-rawalpindi-jobs-1462179?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1462179&utm_campaign=ROZEE.PK_job_search
"Manager Data Engineering
Prima Systems, Multiple Cities, Pakistan
Prima Systems offers industry-specific enterprise solutions across various technology verticals. Our focus on modernizing business process o..",https://www.rozee.pk/prima-systems-manager-data-engineering-islamabad-lahore-rawalpindi-jobs-1464509?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1464509&utm_campaign=ROZEE.PK_job_search
"AI Research Associate
Devtier Pakistan Private Ltd, Lahore, Pakistan
We are seeking a talented and motivated AI Research Associate to join our team at Devtier, a leading software development company. In this r..",https://www.rozee.pk/devtier-pakistan-private-ltd-ai-research-associate-lahore-jobs-1468478?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1468478&utm_campaign=ROZEE.PK_job_search
"Data Scientist
Pullstream, Multiple Cities, Pakistan
We are seeking a seasoned professional to work from home in a full-time, permanent role.Your salary will be competitive in line with your sk..",https://www.rozee.pk/pullstream-data-scientist-islamabad-karachi-lahore-peshawar-quetta-rawalpindi-taxila-jobs-1466523?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1466523&utm_campaign=ROZEE.PK_job_search
"Junior Software Developer (ASP.NET MVC / MVC Core)
Algorithm Consulting Pvt Limited, Karachi, Pakistan
Responsibilities: Collaborate with the development team to design, develop, test, and deploy robust C# ASP.NET MVC and MVC Core applications..",https://www.rozee.pk/algorithm-consulting-pvt-limited-junior-software-developer-aspnet-mvc-mvc-core-karachi-jobs-1463341?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1463341&utm_campaign=ROZEE.PK_job_search
